block,balance,time
170129,5221857.562,1627410888
148863,5227740.804,1626973678
212661,5279359.561,1628185409
191395,5272859.561,1627774615
233927,5431750.454,1630477085
255193,5431750.454,1630578615
276459,5431750.454,1630785515
297725,5598572.662,1630941888
340257,5682645.201,1631224055
318991,5607897.492,1631096537
382789,5935400.08,1631342540
404055,6013651.653,1631363576
425321,5957069.4,1631380252
361523,5815683.424,1631292722
467853,5758717.19,1631411022
446587,5827304.642,1631394534
510385,5809507.885,1631432215
489119,5800850.156,1631424804
552917,5766663.387,1631446297
574183,5776217.563,1631454986
531651,5783004.865,1631438635
637981,5698581.739,1631476159
595449,5771246.892,1631463092
659247,5685856.248,1631488477
616715,5747427.779,1631468703
701779,5646913.014,1631521015
680513,5659952.069,1631502296
723045,5693424.754,1631538931
744311,5720392.193,1631560804
765577,5720131.031,1631579374
808109,5809398.751,1631614232
850641,5852646.318,1631650016
829375,5849351.23,1631632246
935705,5758478.929,1631718771
914439,5827942.153,1631705653
893173,5842987.279,1631688009
786843,5772424.728,1631600947
871907,5877560.257,1631669851
956971,5799919.201,1631731656
1020769,5842574.1,1631771935
999503,5862487.967,1631756885
1042035,5837755.082,1631786770
1084567,5862956.551,1631815216
978237,5824280.626,1631744483
1063301,5832308.442,1631800905
1105833,5869786.652,1631841199
1148365,5856399.334,1631890105
1190897,5881909.371,1631950579
1169631,5865267.668,1631918346
1127099,5844808.062,1631865642
1212163,5875553.822,1631974394
1275961,5863043.644,1632050280
1233429,5832038.03,1631997585
1297227,5826125.007,1632071936
1254695,5850101.904,1632023795
1361025,5747325.231,1632166239
1339759,5758282.973,1632137257
1318493,5823796.071,1632105194
1382291,5765212.237,1632196481
1424823,5819212.938,1632256940
1446089,5822200.85,1632295937
1403557,5807112.327,1632224126
1488621,5865698.5,1632363413
1531153,5861967.058,1632423674
1467355,5826884.738,1632323978
1552419,5871961.42,1632470628
1616217,5851037.807,1632586225
1509887,5849629.979,1632398855
1594951,5856093.508,1632552300
1573685,5834306.236,1632501112
1658749,5901130.955,1632686789
1637483,5836815.506,1632643082
1701281,5880718.774,1632793039
1680015,5948368.571,1632735649
1743813,5890202.352,1632900951
1722547,5887999.365,1632842762
1765079,5896436.152,1632948531
1786345,5921490.566,1633002942
1828877,5906770.206,1633108051
1807611,5912842.577,1633062016
1871409,5899114.659,1633237370
1850143,5919711.415,1633173031
1913941,5957666.535,1633357411
1956473,6212134.126,1633480204
1999005,6164648.688,1633618614
1892675,5885548.921,1633295753
1977739,6189983.425,1633541864
2084069,6161606.324,1633874782
1935207,5972687.973,1633420410
2041537,6118936.186,1633772460
2126601,6134494.859,1633977860
2105335,6159798.915,1633929142
2020271,6127734.751,1633695139
2062803,6129423.546,1633823677
2190399,6149220.276,1634143871
2169133,6200165.638,1634083694
2147867,6203323.379,1634034359
2211665,6155618.189,1634209359
2254197,6132018.063,1634316630
2275463,6115052.376,1634390279
2232931,6148203.221,1634268966
2317995,6062946.728,1634511746
2339261,6172355.526,1634572265
2381793,6130997.704,1634688768
2296729,6109001.848,1634459714
2424325,6146320.759,1634825754
2403059,6137243.602,1634747738
2360527,6163986.667,1634638768
2466857,6220985.088,1634977246
2509389,6215729.892,1635109261
2551921,6196816.753,1635231573
2594453,6174163.406,1635307119
2636985,6203826.855,1635380881
2488123,6227040.71,1635053843
2679517,6277257.435,1635482352
2658251,6241591.139,1635434816
2573187,6210071.21,1635265679
2700783,6277250.917,1635537996
2764581,6322338.557,1635778348
2722049,6269148.501,1635626227
2785847,6316700.633,1635862293
2849645,6363831.306,1636124038
2807113,6356596.02,1635940370
2743315,6262334.735,1635704481
2530655,6228163.226,1635149723
2913443,6328061.816,1636403645
2934709,6323766.189,1636495375
2977241,6315972.346,1636645026
2955975,6288385.652,1636572849
2892177,6339536.827,1636316334
3019773,6260197.69,1636825865
2828379,6328295.815,1636033528
3062305,6280090.91,1636998582
3104837,6315811.492,1637152334
3083571,6311485.137,1637072738
2998507,6254396.124,1636732423
2870911,6351137.913,1636218734
3147369,6323997.981,1637324845
3126103,6321537.59,1637247399
3232433,6316655.693,1637564666
3211167,6308455.647,1637498592
3168635,6353537.556,1637404090
3274965,6309338.624,1637685064
3360029,6316112.944,1637943535
3041039,6241090.413,1636911022
3253699,6339049.627,1637618686
3189901,6350604.852,1637443848
3381295,6305202.455,1638026038
3296231,6364689.932,1637755801
3317497,6352322.117,1637824560
3445093,6311285.84,1638229796
3423827,6320122.246,1638162255
3338763,6341693.259,1637890465
3402561,6316249.998,1638098642
3466359,6304333.534,1638295744
3508891,6295299.914,1638436062
3530157,6307911.662,1638521244
3572689,6295831.403,1638649834
3615221,6287979.449,1638790336
3487625,6294266.328,1638361669
3593955,6321145.124,1638722657
3636487,6304163.339,1638864016
3700285,6300845.821,1639050741
3551423,6299099.992,1638593931
3679019,6322183.811,1638980409
3721551,6299807.993,1639122156
3742817,6233790.809,1639191223
3785349,6270666.605,1639316460
3764083,6266651.237,1639249409
3657753,6322882.628,1638926526
3827881,6255007.26,1639422863
3870413,6288574.316,1639560954
3912945,6312998.208,1639725370
3849147,6275869.086,1639481189
3891679,6306059.28,1639630557
3955477,6294246.818,1639913178
3934211,6303478.037,1639818233
3998009,6305321.984,1640085997
4040541,6309030.094,1640263400
3806615,6274716.44,1639380899
3976743,6304675.569,1639998904
4019275,6309083.025,1640176459
4061807,6281740.366,1640352285
4125605,6337245.573,1640661905
4146871,6336784.667,1640742482
4168137,6329437.802,1640826944
4189403,6328663.882,1640897001
4253201,6333507.438,1641089486
4083073,6251003.904,1640465310
4295733,6396968.637,1641216591
4274467,6414980.131,1641152653
4210669,6332127.577,1640961747
4231935,6327622.163,1641040225
4104339,6325142.65,1640572405
4338265,6431888.565,1641311706
4380797,6422793.121,1641407579
4316999,6403949.341,1641263125
4423329,6446638.107,1641495083
4402063,6443988.795,1641443796
4465861,6452274.19,1641592974
4444595,6456170.632,1641539845
4508393,6498326.172,1641719104
4359531,6438348.593,1641352017
4635989,6562291.571,1642156183
4529659,6530784.306,1641819023
4487127,6477495.61,1641662577
4657255,6579507.765,1642219594
4550925,6479630.544,1641871211
4721053,6551753.93,1642397695
4699787,6602070.871,1642345384
4678521,6572034.359,1642281902
4763585,6564220.344,1642521899
4742319,6552611.137,1642456712
4784851,6592534.007,1642577314
4614723,6548765.283,1642087804
4593457,6510412.529,1642015084
4827383,6578968.559,1642696100
4572191,6507205.718,1641939509
4848649,6429594.741,1642742478
4891181,6311257.51,1642837465
4869915,6393761.334,1642797409
4933713,6294157.143,1642948401
4912447,6286531.804,1642880355
4954979,6308139.982,1643010316
4806117,6611926.068,1642640479
4976245,6284973.64,1643040914
4997511,6288419.86,1643068511
5061309,6310434.32,1643177609
5103841,6281162.188,1643237911
5082575,6294868.405,1643208926
5018777,6324184.825,1643112090
5125107,6284082.833,1643281634
5040043,6313710.94,1643143042
5167639,6179203.92,1643368827
5146373,6199239.665,1643320486
5188905,6216159.805,1643418293
5401565,6236393.955,1643931642
5231437,6205188.858,1643532158
5444097,6244744.876,1644047086
5295235,6212182.244,1643666430
5273969,6195020.729,1643614659
5210171,6225869.217,1643477157
5359033,6202144.416,1643833672
5380299,6228772.295,1643883527
5422831,6247299.774,1643991826
