time,block,balance
1640995285,8973614,0
1641047909,8999732,0
1641021562,8986673,0
1641100681,9025850,0
1641074221,9012791,0
1641153168,9051968,0
1641126992,9038909,0
1641205867,9078086,0
1641179518,9065027,0
1641258432,9104204,0
1641232301,9091145,0
1641311074,9130322,0
1641284717,9117263,0
1641363717,9156440,0
1641337399,9143381,0
1641390232,9169499,0
1641416735,9182558,0
1641469066,9208676,0
1641442784,9195617,0
1641521494,9234794,0
1641495367,9221735,0
1641572739,9260912,0
1641546556,9247853,0
1641624880,9287030,0
1641598316,9273971,0
1641676746,9313148,0
1641651219,9300089,0
1641729359,9339266,0
1641703107,9326207,0
1641781106,9365384,0
1641755245,9352325,0
1641833127,9391502,0
1641807336,9378443,0
1641885170,9417620,0
1641859051,9404561,0
1641937235,9443738,0
1641911375,9430679,0
1641989295,9469856,0
1641963259,9456797,0
1642040922,9495974,0
1642015227,9482915,0
1642092844,9522092,0
1642066929,9509033,0
1642144076,9548210,0
1642195193,9574328,0
1642118569,9535151,0
1642169739,9561269,0
1642246371,9600446,0
1642220482,9587387,0
1642297184,9626564,0
1642271926,9613505,0
1642348342,9652682,0
1642322534,9639623,0
1642399718,9678800,0
1642374119,9665741,0
1642451966,9704918,0
1642425660,9691859,0
1642504504,9731036,0
1642478357,9717977,0
1642530358,9744095,0
1642556582,9757154,0
1642608169,9783272,0
1642582802,9770213,0
1642634673,9796331,0
1642661290,9809390,0
1642714266,9835508,117913.9533
1642687746,9822449,0
1642766471,9861626,122198.6574
1642818724,9887744,161053.0357
1642740026,9848567,117517.9054
1642792426,9874685,142117.2228
1642922184,9939980,196153.838
1642870216,9913862,194299.2557
1642844469,9900803,192766.4928
1642895965,9926921,192954.5401
1642974399,9966098,198737.2191
1642948440,9953039,196860.6371
1643026127,9992216,206186.2297
1643000434,9979157,203509.8962
1643077262,10018334,237347.9487
1643051549,10005275,225003.9098
1643129450,10044452,247654.2033
1643103461,10031393,238035.1639
1643181246,10070570,247988.3157
1643155190,10057511,247380.6083
1643232521,10096688,258604.2633
1643207189,10083629,252538.9297
1643283685,10122806,265559.5967
1643258280,10109747,264801.659
1643335583,10148924,293213.3409
1643309385,10135865,278563.7273
1643387548,10175042,297347.225
1643361819,10161983,295392.3295
1643439209,10201160,297445.4084
1643413349,10188101,295506.821
1643490527,10227278,297951.347
1643464940,10214219,297789.3027
1643541671,10253396,299247.8063
1643516104,10240337,298378.051
1643592413,10279514,300073.2894
1643566851,10266455,298827.377
1643644659,10305632,303298.5736
1643618688,10292573,304202.9422
1643696973,10331750,299544.5566
1643671711,10318691,303380.1629
1643748097,10357868,299782.2857
1643722715,10344809,297856.4414
1643799324,10383986,293142.8959
1643773713,10370927,293287.073
1643850607,10410104,293696.7993
1643825017,10397045,293411.8558
1643902088,10436222,291630.4961
1643876377,10423163,289078.6803
1643953068,10462340,300389.8404
1643927452,10449281,298342.1392
1644004798,10488458,301545.0319
1643978450,10475399,300513.5992
1644029893,10501517,301485.3375
1644055398,10514576,302456.4724
1644081200,10527635,302558.732
1644106975,10540694,303280.3988
1644158685,10566812,304503.0142
1644132628,10553753,303990.5188
1644184755,10579871,251741.4462
1644210725,10592930,255585.0091
1644262160,10619048,213028.0929
1644236644,10605989,211704.191
1644314245,10645166,214202.5815
1644288712,10632107,214315.7918
1644365711,10671284,222734.5761
1644339896,10658225,216806.6512
1644417044,10697402,239268.5789
1644391174,10684343,222944.263
1644470859,10723520,254073.0259
1644443678,10710461,251681.4906
1644523910,10749638,252107.1601
1644575982,10775756,238473.6481
1644627728,10801874,296341.2
1644497202,10736579,255174.7557
1644550387,10762697,237995.1567
1644677517,10827992,307614.8955
1644601612,10788815,241178.7142
1644729220,10854110,310860.3497
1644652719,10814933,302985.8749
1644702897,10841051,310208.5226
1644781264,10880228,311839.9418
1644755140,10867169,311577.0756
1644834101,10906346,315925.7501
1644807895,10893287,315906.379
1644886917,10932464,315944.9663
1644860509,10919405,316536.1401
1644939186,10958582,310195.188
1644912642,10945523,309959.7481
1644992792,10984700,312597.6806
1644966145,10971641,314781.0289
1645046339,11010818,313553.2788
1645019434,10997759,314066.4954
1645099743,11036936,324993.6925
1645073148,11023877,324918.4242
1645153425,11063054,310179.0872
1645126886,11049995,309784.7219
1645206512,11089172,311349.724
1645179865,11076113,311409.0461
1645259214,11115290,310974.4057
1645232947,11102231,311553.3024
1645312113,11141408,310216.5685
1645285381,11128349,311146.4345
1645418071,11193644,326294.4083
1645391460,11180585,325610.4875
1645444440,11206703,325609.8887
1645471214,11219762,328994.8417
1645578294,11271998,327137.7414
1645551170,11258939,327309.4623
1645497998,11232821,330189.0688
1645338442,11154467,310641.9119
1645631635,11298116,341308.2732
1645524427,11245880,325561.3638
1645658150,11311175,333355.7173
1645684851,11324234,322709.7391
1645605135,11285057,337766.7955
1645738255,11350352,332233.5267
1645711187,11337293,329734.4015
1645364626,11167526,315414.2319
1645897794,11428706,335155.6847
1645844938,11402588,336079.9247
1645764871,11363411,333163.8822
1646004217,11480942,336499.6169
1645925090,11441765,334496.1603
1645951411,11454824,334592.9098
1645977547,11467883,335269.8017
1645791135,11376470,335033.34
1645871249,11415647,336157.8792
1645818453,11389529,335557.9357
1646057274,11507060,335745.0367
1646030629,11494001,336419.7898
1646111255,11533178,348280.8276
1646084346,11520119,344630.8745
1646164594,11559296,343258.2888
1646137685,11546237,348803.7129
1646217881,11585414,343753.09
1646191660,11572355,343776.6954
1646244347,11598473,349940.4751
1646323074,11637650,356018.4753
1646270773,11611532,355254.3977
1646296749,11624591,355246.4332
1646375690,11663768,366120.6997
1646349582,11650709,365538.9007
1646428071,11689886,391362.6231
1646401630,11676827,375390.5477
1646480409,11716004,399100.0495
1646454650,11702945,395346.8092
1646506845,11729063,389208.1292
1646584945,11768240,398041.1143
1646533218,11742122,399523.1275
1646559138,11755181,398323.6761
1646637299,11794358,398274.6817
1646611117,11781299,398406.1411
1646690177,11820476,396403.788
1646663684,11807417,398972.1734
1646743705,11846594,393215.7092
1646717291,11833535,395022.4968
1646796374,11872712,391651.3698
1646770036,11859653,394043.7101
1646848998,11898830,390652.3394
1646822771,11885771,391688.3654
1646901934,11924948,393705.3408
1646875505,11911889,392129.049
1646955447,11951066,394193.6951
1646928423,11938007,393381.8788
1647011501,11977184,392228.117
1646983485,11964125,395992.7514
1647066434,12003302,390792.6161
1647119318,12029420,391465.557
1647039787,11990243,390594.164
1647092890,12016361,391081.8676
1647172882,12055538,392512.5373
1647226339,12081656,391600.1327
1647145867,12042479,391852.4762
1647199544,12068597,392180.0874
1647279268,12107774,393515.2259
1647252865,12094715,390439.3622
1647333099,12133892,389892.1611
1647306232,12120833,393371.6692
1647360187,12146951,390603.5634
1647387720,12160010,388640.5237
1647442121,12186128,390354.9095
1647414858,12173069,390036.3556
1647497000,12212246,391117.81
1647469576,12199187,391039.2114
1647553113,12238364,386120.9838
1647524868,12225305,385993.5339
1647607763,12264482,387810.1765
1647580873,12251423,386818.2673
1647661896,12290600,377968.5248
1647634906,12277541,381715.4328
1647715871,12316718,385954.2822
1647688771,12303659,388135.6479
1647769406,12342836,405131.5178
1647742650,12329777,404623.6092
1647823192,12368954,404858.2397
1647796286,12355895,405039.0725
1647876822,12395072,406255.7442
1647849920,12382013,404893.3079
1647930807,12421190,405928.5223
1647903889,12408131,405661.2919
1647984633,12447308,390340.9537
1647957633,12434249,406042.7076
1648038287,12473426,390547.8099
1648011512,12460367,390389.4822
1648091996,12499544,390110.9987
1648065188,12486485,390310.4676
1648144927,12525662,390833.2594
1648118197,12512603,392812.7561
1648197924,12551780,385756.3224
1648171470,12538721,385735.9549
1648251147,12577898,380039.1868
1648224540,12564839,385726.449
1648304342,12604016,379524.5992
1648277743,12590957,380041.5614
1648357345,12630134,377334.9457
1648330881,12617075,379659.9738
1648383829,12643193,377151.0931
1648410406,12656252,377997.4276
1648463375,12682370,379946.1971
1648436916,12669311,379872.35
1648516442,12708488,381610.0895
1648489885,12695429,380832.369
1648569455,12734606,395710.0592
1648542912,12721547,381798.1761
1648622505,12760724,401808.7362
1648596057,12747665,402307.0608
1648675508,12786842,411717.8559
1648648983,12773783,402951.5615
1648728534,12812960,390452.2134
1648702063,12799901,392185.9652
1648807984,12852137,390819.3545
1648887494,12891314,376073.7183
1648861141,12878255,377813.3521
1648834758,12865196,378542.5596
1648913852,12904373,372657.6554
1648994182,12943550,383009.0595
1648967410,12930491,379339.1087
1648940575,12917432,373587.6823
1648781388,12839078,387923.5408
1649048083,12969668,385136.8176
1649102179,12995786,384293.4002
1649075037,12982727,385553.1316
1648754992,12826019,389876.2783
1649021176,12956609,389076.7574
1649157035,13021904,383243.0859
1649129418,13008845,382989.4821
1649211491,13048022,379681.5162
