rate,time,block,mpl_staked,xmpl_supply
0,1653431158,14838292,0,0
0,1653435282,14838540,0,0
0,1653442333,14839036,0,0
0,1653445736,14839284,0,0
0,1653438880,14838788,0,0
0,1653452591,14839780,0,0
0,1653449122,14839532,0,0
0,1653469898,14841020,0,0
0,1653459295,14840276,0,0
0,1653463059,14840524,0,0
0,1653466638,14840772,0,0
0,1653476663,14841516,0,0
0,1653473155,14841268,0,0
0,1653483774,14842012,0,0
0,1653480046,14841764,0,0
0,1653497879,14843004,0,0
0,1653490523,14842508,0,0
1,1653500952,14843252,1,1
1,1653504373,14843500,1,1
0,1653487235,14842260,0,0
1,1653511593,14843996,1,1
1,1653515062,14844244,1,1
1,1653508093,14843748,1,1
1,1653518535,14844492,1,1
1,1653522343,14844740,1,1
0,1653494261,14842756,0,0
1,1653533283,14845484,1,1
1,1653529447,14845236,1,1
1,1653542841,14846228,1,1
1,1653539618,14845980,1,1
1,1653546617,14846476,1,1
1,1653536256,14845732,1,1
1,1653550354,14846724,1,1
1,1653525796,14844988,1,1
1,1653561204,14847468,1,1
1,1653557531,14847220,1,1
1,1653553653,14846972,1,1
1,1653568278,14847964,1,1
1,1653564814,14847716,1,1
1,1653578596,14848708,1,1
1,1653571832,14848212,1,1
1,1653575322,14848460,1,1
1.953703704,1653595705,14849948,1.953703704,1
1.524884259,1653592000,14849700,1.524884259,1
1.144444444,1653588713,14849452,1.144444444,1
1,1653585224,14849204,1,1
1,1653581880,14848956,1,1
3.627430556,1653610166,14850940,3.627430556,1
3.224884259,1653606688,14850692,3.224884259,1
4.389814815,1653616753,14851436,4.389814815,1
5.170833333,1653623501,14851932,5.170833333,1
0,1653456086,14840028,0,0
4.772106481,1653620056,14851684,4.772106481,1
5.97025463,1653630408,14852428,5.97025463,1
4.017939815,1653613540,14851188,4.017939815,1
7.592361111,1653644423,14853420,7.592361111,1
7.186574074,1653640917,14853172,7.186574074,1
6.816666667,1653637721,14852924,6.816666667,1
7.975578704,1653647734,14853668,7.975578704,1
5.566435185,1653626919,14852180,5.566435185,1
8.365856481,1653651106,14853916,8.365856481,1
9.200462963,1653658317,14854412,9.200462963,1
9.587152778,1653661658,14854660,9.587152778,1
8.772222222,1653654617,14854164,8.772222222,1
10.42511574,1653668898,14855156,10.42511574,1
10.82314815,1653672337,14855404,10.82314815,1
10.82314815,1653665231,14854908,10.82314815,1
0,1653675649,14855652,0,0
0,1653682621,14856148,0,0
0,1653686201,14856396,0,0
0,1653693069,14856892,0,0
0,1653696494,14857140,0,0
0,1653678879,14855900,0,0
0,1653704195,14857636,0,0
2.799768519,1653603015,14850444,2.799768519,1
0,1653689471,14856644,0,0
0,1653714676,14858380,0,0
6.398958333,1653634112,14852676,6.398958333,1
0,1653700444,14857388,0,0
0,1653711444,14858132,0,0
0,1653707782,14857884,0,0
0,1653721426,14858876,0,0
0,1653728262,14859372,0,0
0,1653718219,14858628,0,0
0,1653724705,14859124,0,0
0,1653731801,14859620,0,0
0,1653734987,14859868,0,0
0,1653742150,14860364,0,0
0,1653738652,14860116,0,0
0,1653745623,14860612,0,0
0,1653749039,14860860,0,0
0,1653752402,14861108,0,0
0,1653755712,14861356,0,0
0,1653762289,14861852,0,0
0,1653765989,14862100,0,0
0,1653758909,14861604,0,0
0,1653769672,14862348,0,0
0,1653776299,14862844,0,0
0,1653773020,14862596,0,0
0,1653783262,14863340,0,0
0,1653786638,14863588,0,0
0,1653779919,14863092,0,0
0,1653796783,14864332,0,0
0,1653793717,14864084,0,0
0,1653807309,14865076,0,0
0,1653803695,14864828,0,0
0,1653818091,14865820,0,0
0,1653800317,14864580,0,0
0,1653825624,14866316,0,0
0,1653821810,14866068,0,0
2.373263889,1653599330,14850196,2.373263889,1
0,1653829206,14866564,0,0
0,1653814876,14865572,0,0
0,1653842492,14867556,0,0
0,1653835891,14867060,0,0
0,1653846134,14867804,0,0
0,1653849372,14868052,0,0
0,1653832353,14866812,0,0
0,1653853014,14868300,0,0
0,1653856581,14868548,0,0
0,1653866829,14869292,0,0
0,1653839164,14867308,0,0
0,1653863381,14869044,0,0
0,1653874083,14869788,0,0
0,1653877842,14870036,0,0
0,1653790318,14863836,0,0
0,1653881189,14870284,0,0
0,1653888175,14870780,0,0
0,1653895335,14871276,0,0
0,1653891582,14871028,0,0
0,1653902688,14871772,0,0
0,1653909602,14872268,0,0
0,1653906072,14872020,0,0
0,1653898803,14871524,0,0
1,1653917117,14872764,11,11
0,1653870235,14869540,0,0
1,1653920396,14873012,11,11
1,1653923661,14873260,11,11
1,1653926982,14873508,16993.22047,16993.22047
0,1653811076,14865324,0,0
1.000092838,1653933769,14874004,157244.8222,157230.2253
1.000165019,1653943795,14874748,193766.0166,193734.0467
1.000140049,1653940089,14874500,185020.7977,184994.8893
1.000117024,1653936870,14874252,175856.9878,175836.4108
1.000204654,1653950896,14875244,293365.0231,293304.9971
1.000235806,1653958161,14875740,309146.1782,309073.2969
1.000220739,1653954585,14875492,297376.1179,297310.4899
1.000185908,1653947183,14874996,240094.4395,240049.8123
1.000246863,1653961027,14875988,350118.6349,350032.225
1.000285448,1653971607,14876732,354214.9086,354113.8274
1.000272282,1653967983,14876484,353758.7041,353662.4083
1.000259127,1653964369,14876236,351937.2234,351846.0507
1.000060586,1653930324,14873756,87427.65573,87422.35914
1.000311678,1653978830,14877228,356228.3227,356117.3288
1.000298406,1653975175,14876980,354219.497,354113.8274
0,1653884886,14870532,0,0
1.000337896,1653986109,14877724,357649.2669,357528.4595
1.000363572,1653993261,14878220,358772.3313,358641.9391
1.000389414,1654000486,14878716,359904.3553,359764.258
1.000349975,1653989469,14877972,358767.4547,358641.9391
1.000377189,1653997067,14878468,359624.8396,359489.244
0,1653859926,14868796,0,0
1.000401298,1654003860,14878964,369538.3465,369390.1109
1.000409858,1654007479,14879212,566227.0912,565995.1137
1.000424745,1654014036,14879708,567626.2511,567385.2571
1,1653913622,14872516,11,11
1.000417617,1654010894,14879460,566374.5631,566138.1342
1.000440198,1654020859,14880204,573242.8061,572990.5768
1.000455908,1654028035,14880700,603659.7322,603384.6442
1.00044765,1654024191,14880452,598211.7163,597944.0468
1.00046719,1654034890,14881196,873672.4661,873264.4857
1.000461824,1654031246,14880948,873667.7799,873264.4857
1.000432257,1654017354,14879956,567563.8034,567318.5758
1.000472329,1654038380,14881444,873807.5406,873395.0104
1.000488967,1654048655,14882188,895048.0568,894610.6217
1.000477433,1654041858,14881692,878728.5102,878309.1765
1.00048257,1654045412,14881940,895042.334,894610.6217
1.000496876,1654051815,14882436,1030930.241,1030418.251
1.000541797,1654069996,14883676,1034821.522,1034261.163
1.00051459,1654058977,14882932,1033593.892,1033062.288
1.000532902,1654066392,14883428,1034640.263,1034089.195
1.000506657,1654055767,14882684,1032925.027,1032401.953
1.00056935,1654081163,14884420,1034956.739,1034367.821
1.000594539,1654091682,14885164,1097369.907,1096717.866
1.000551339,1654073863,14883924,1034938.108,1034367.821
1.000610211,1654098478,14885660,1114348.442,1113668.869
1.000523807,1654062708,14883180,1033603.414,1033062.288
1.00061861,1654102143,14885908,1114361.795,1113672.866
1.000324065,1653982265,14877476,357458.4836,357342.6814
1.000601778,1654094798,14885412,1114339.05,1113668.869
1.00062691,1654105780,14886156,1119860.536,1119158.925
1.000578583,1654084905,14884668,1034982.344,1034383.867
1.00063383,1654108815,14886404,1119903.753,1119194.373
1.000648405,1654115751,14886900,1288125.676,1287290.99
1.000668619,1654125948,14887644,1288401.571,1287540.697
1.000654954,1654119054,14887148,1288316.401,1287473.165
1.00069633,1654139937,14888636,1289432.223,1288534.978
1.000661731,1654122473,14887396,1288392.702,1287540.697
1.000682893,1654133153,14888140,1289414.909,1288534.978
1.000675409,1654129375,14887892,1288961.349,1288091.36
1.000710172,1654147010,14889132,1318379.314,1317443.702
1.000690128,1654136806,14888388,1289424.232,1288534.978
1.00058652,1654088236,14884916,1097361.112,1096717.866
1.000703409,1654143519,14888884,1318370.404,1317443.702
1.000641726,1654112480,14886652,1220692.107,1219909.259
1.000560517,1654077583,14884172,1034947.602,1034367.821
1.000750736,1654168019,14890620,1324363.628,1323370.125
1.00072407,1654154199,14889628,1321157.071,1320201.153
1.000776386,1654181320,14891612,1324680.485,1323652.819
1.000763949,1654174870,14891116,1324404.112,1323393.108
1.000717055,1654150570,14889380,1321095.745,1320149.126
1.000790978,1654188888,14892108,1324769.8,1323722.765
1.00078287,1654184683,14891860,1324739.068,1323702.78
1.000770181,1654178102,14891364,1324440.718,1323421.443
1.000804757,1654196040,14892604,1326907.042,1325840.063
1.000811128,1654199350,14892852,1326931.895,1325856.455
1.000798355,1654192715,14892356,1325538.589,1324481.184
1.00081771,1654202770,14893100,1327320.599,1326236.122
1.00082464,1654206377,14893348,1330151.871,1329055.878
1.00074385,1654164448,14890372,1324354.514,1323370.125
1.000843948,1654216437,14894092,1331271.129,1330148.554
1.000837142,1654212890,14893844,1330922.077,1329808.839
1.000850374,1654219787,14894340,1331804.823,1330673.253
1.000857056,1654223271,14894588,1331838.715,1330698.232
1.000864174,1654226985,14894836,1332988.744,1331837.804
1.000870242,1654230171,14895084,1354724.436,1353546.522
1.000877724,1654234140,14895332,1355271.377,1354082.867
1.000737837,1654161330,14890124,1324337.806,1323361.382
1.000884315,1654237637,14895580,1355280.302,1354082.867
1.000891171,1654241275,14895828,1355289.587,1354082.867
1.000897479,1654244645,14896076,1365065.841,1363841.822
1.000903621,1654247928,14896324,1365485.38,1364252.612
1.00091745,1654255323,14896820,1366319.603,1365067.222
1.000929873,1654261969,14897316,1366641.807,1365372.184
1.000923652,1654258641,14897068,1366627.395,1365366.271
1.000937069,1654265818,14897564,1366236.293,1364957.234
1.000950088,1654272781,14898060,1366321.542,1365024.649
1.000730836,1654157701,14889876,1322528.942,1321563.096
1.000962371,1654279558,14898556,1504585.7,1503139.123
1.000909917,1654251294,14896572,1366309.321,1365067.222
1.000973067,1654286279,14899052,1688227.169,1686586.008
1.000967854,1654282920,14898804,1614092.838,1612532.143
1.000978814,1654290077,14899300,1688243.857,1686592.996
1.000983553,1654293214,14899548,1693251.863,1691588.096
1.000757203,1654171372,14890868,1324395.185,1323393.108
1.000993915,1654300082,14900044,1693415.552,1691734.112
1.000999554,1654303820,14900292,1693465.091,1691774.072
1.00098876,1654296665,14899796,1693260.67,1691588.096
1.001014442,1654313831,14901036,1722114.336,1720369.122
1.001009509,1654310506,14900788,1722099.066,1720362.345
1.000956443,1654276180,14898308,1366330.217,1365024.649
1.001029595,1654324046,14901780,1722876.232,1721104.191
1.001034926,1654327641,14902028,1722885.407,1721104.191
1.001024049,1654320307,14901532,1722130.864,1720369.122
1.001039897,1654330993,14902276,1722893.962,1721104.191
1.001045683,1654334895,14902524,1722903.92,1721104.191
1.001056862,1654342437,14903020,1725964.122,1724141.942
1.001004183,1654306916,14900540,1721747.338,1720020.124
1.001051556,1654338856,14902772,1722936.629,1721126.767
1.001061901,1654345841,14903268,1726024.617,1724193.695
1.001067771,1654349807,14903516,1726034.739,1724193.695
1.000830422,1654209389,14893596,1330764.165,1329659.986
1.00107308,1654353393,14903764,1725542.675,1723693.014
1.001079171,1654357507,14904012,1725553.174,1723693.014
1.001018953,1654316872,14901284,1722122.097,1720369.122
1.000943374,1654269190,14897812,1366312.377,1365024.649
1.001084786,1654361299,14904260,1725562.852,1723693.014
1.001090056,1654364858,14904508,1725571.935,1723693.014
1.001106873,1654376216,14905252,1725600.922,1723693.014
1.001095121,1654368279,14904756,1725580.666,1723693.014
1.001100953,1654372218,14905004,1725590.719,1723693.014
1.001112583,1654380073,14905500,1725610.766,1723693.014
1.001123287,1654387303,14905996,1725968.299,1724031.717
1.001133992,1654394535,14906492,1725976.745,1724021.717
1.001128518,1654390837,14906244,1725967.307,1724021.717
1.001145191,1654402100,14906988,1725996.052,1724021.717
1.001139328,1654398139,14906740,1725985.943,1724021.717
1.001117922,1654383679,14905748,1725959.05,1724031.717
1.001150774,1654405871,14907236,1726005.676,1724021.717
1.001155758,1654409238,14907484,1726138.925,1724146.23
1.001166492,1654416490,14907980,1726206.696,1724195.435
1.00117608,1654422967,14908476,1726223.226,1724195.435
1.00117094,1654419495,14908228,1726214.365,1724195.435
1.001186808,1654430215,14908972,1726241.724,1724195.435
1.001181473,1654426611,14908724,1726232.526,1724195.435
1.001197193,1654437231,14909468,1726259.63,1724195.435
1.001191915,1654433665,14909220,1726250.529,1724195.435
1.001202513,1654440825,14909716,1726268.802,1724195.435
1.001207578,1654444247,14909964,1726277.536,1724195.435
1.00121928,1654452153,14910460,1727417.16,1725313.519
1.001213703,1654448385,14910212,1726288.096,1724195.435
1.001225108,1654456093,14910708,1727427.215,1725313.519
1.001235914,1654463398,14911204,1727445.859,1725313.519
1.001230553,1654459774,14910956,1727436.61,1725313.519
1.001246162,1654470326,14911700,1727463.54,1725313.519
1.001241214,1654466981,14911452,1727455.003,1725313.519
